title,description,desc_length,author,avg_rating,rating_count,wavg_rating,rating_class,api_publisher,api_page_count,desc_clean,desc_yake,sentiment,negative,neutral,positive,compound,comp_score
The Tower of the Swallow ,"The world has fallen into war. Ciri, the child of prophecy, has vanished. Hunted by friends and foes alike, she has taken on the guise of a petty bandit and lives free for the first time in her life. But the net around her is closing. Geralt, the Witcher, has assembled a group of allies determined to rescue her. Both sides of the war have sent brutal mercenaries to hunt her down. Her crimes have made her famous. There is only one place left to run. The tower of the swallow is waiting...",399,Andrzej Sapkowski,4.25,62276,0.3258247953796944,High,Hachette UK,400.0,world fall ciri child prophecy vanish hunt friends foes alike take guise petty bandit live free first time life around close geralt witcher assemble group ally determine rescue side send brutal mercenaries hunt crimes make famous place leave tower swallow wait,world hunt alike group,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0,Positive
The Autumn Republic ,"The capital has fallen...Field Marshal Tamas returns to his beloved country to find that for the first time in history, the capital city of Adro lies in the hands of a foreign invader. His son is missing, his allies are indistinguishable from his foes, and reinforcements are several weeks away.An army divided...With the Kez still bearing down upon them and without clear leadership, the Adran army has turned against itself. Inspector Adamat is drawn into the very heart of this new mutiny with promises of finding his kidnapped son.All hope rests with one...And Taniel Two-shot, hunted by men he once thought his friends, must safeguard the only chance Adro has of getting through this war without being destroyed...THE AUTUMN REPUBLIC is the epic conclusion that began with Promise of Blood and The Crimson Campaign.",687,Brian  McClellan,4.37,26148,0.14066420788203993,High,Hachette UK,592.0,capital fall field marshal tamas return beloved country find first time history capital city adro hand foreign invader miss ally indistinguishable foes reinforcements several weeks away army divide still bear upon without clear leadership adran army turn inspector adamat draw heart mutiny promise find kidnap hope rest taniel shoot hunt think friends must safeguard chance adro without destroy autumn republic epic conclusion begin promise blood crimson campaign,campaign field leadership shoot,"{'neg': 0.444, 'neu': 0.556, 'pos': 0.0, 'compound': -0.34}",0.444,0.556,0.0,-0.34,Negative
What Remains of Heroes ,"Lannick deVeers used to be somebody. A hero, even. Then, he ran afoul of the kingdom’s most powerful general and the cost he paid was nearly too much to bear. In the years that followed, his grief turned him into a shadow of his former self, and he spent his days drowning his regrets in tankards of ale.  But now an unexpected encounter casts Lannick upon an unlikely path to revenge. If he can just find the strength to overcome the many mistakes of his past, he can seize the chance to become a hero once more.  And with an ancient enemy lurking at the kingdom’s doorstep, he’d better…",478,David Benem,3.85,611,0.002889751815234655,Low,Dgk Publications,406.0,lannick deveers somebody hero even afoul kingdom powerful general cost nearly much bear years follow grief turn shadow former self spend days drown regret tankards unexpected encounter cast lannick upon unlikely path revenge find strength overcome many mistake past seize chance become hero ancient enemy lurk kingdom doorstep would better,lannick hero cost unexpected,"{'neg': 0.0, 'neu': 0.455, 'pos': 0.545, 'compound': 0.5574}",0.0,0.455,0.545,0.5574,Positive
Caine Black Knife ,"In Heroes Die and Blade of Tyshalle, Matthew Stover created a new kind of fantasy novel, and a new kind of hero to go with it: Caine, a street thug turned superstar, battling in a future where reality shows take place in another dimension, on a world where magic exists and gods are up close and personal. In that beautiful, savage land, Caine is an assassin without peer, a living legend born from one of the highest-rated reality shows ever made. That season, Caine almost single-handedly defeated—and all but exterminated—the fiercest of all tribes: the Black Knives. But the shocking truth of what really took place during that blood-drenched adventure has never been revealed…until now.Thirty years later, Caine returns to the scene of his greatest triumph—some would say greatest crime—at the request of his adopted brother Orbek, the last of the true Black Knives. But where Caine goes, danger follows, and he soon finds himself back in familiar territory: fighting for his life against impossible odds, with the fate of two worlds hanging in the balance.Just the way Caine likes it.",910,Matthew Woodring Stover,4.07,3138,0.015716650226631587,High,Random House LLC,343.0,heroes blade tyshalle matthew stover create kind fantasy novel kind hero caine street thug turn superstar battle future reality show take place another dimension world magic exist gods close personal beautiful savage land caine assassin without peer live legend bear highest reality show ever make season caine almost single handedly defeat exterminate fiercest tribes black knives shock truth really take place blood drench adventure never reveal years later caine return scene greatest triumph would greatest crime request adopt brother orbek last true black knives caine danger follow soon find back familiar territory fight life impossible odds fate worlds hang balance caine like,caine show black hero gods truth fight,"{'neg': 0.208, 'neu': 0.32, 'pos': 0.472, 'compound': 0.5106}",0.208,0.32,0.472,0.5106,Positive
The Thief Who Pulled on Trouble's Braids ,"Alternate cover edition of ASIN B00AF97702*Winner of the Self Published Fantasy Blog-Off, Hosted by Mark Lawrence*Amra Thetys lives by two simple rules—take care of business, and never let it get personal. Thieves don't last long in Lucernis otherwise. But when a fellow rogue and good friend is butchered on the street in a deal gone wrong, she turns her back on burglary and goes after something more precious than treasure: Revenge.Revenge, however, might be hard to come by. A nightmare assortment of enemies, including an immortal assassin and a mad sorcerer, believe Amra is in possession of The Blade That Whispers Hate—the legendary, powerful artifact her friend was murdered for—and they'll do anything to take it from her. Trouble is, Amra hasn't got the least clue where the Blade might be.She needs to find the Blade, and soon, or she'll be joining her colleague in a cold grave instead of avenging his death. Time is running out for the small, scarred thief.""McClung has an impressive ability to write compelling characters and a fast paced and action packed plot that never seems to let up."" -Speculative Book Review""There are gods and demons and magic and better yet, it all feels refreshingly original."" -Elitist Book Reviews""Michael McClung [...] writes excellent dialogue that keeps the characters engaging and the story moving forward."" -Fantasy-Faction",1153,Michael  McClung,4.0,2944,0.01449092321857717,High,Michael McClung,236.0,alternate cover edition asin winner self publish fantasy blog host mark lawrence amra thetys live simple rule take care business never personal thieve last long lucernis otherwise fellow rogue good friend butcher street deal wrong turn back burglary something precious treasure revenge revenge however might hard come nightmare assortment enemies include immortal assassin sorcerer believe amra possession blade whisper hate legendary powerful artifact friend murder anything take trouble amra least clue blade might need find blade soon join colleague cold grave instead avenge death time small scar thief mcclung impressive ability write compel character fast pace action pack plot never seem speculative book review gods demons magic better feel refreshingly original elitist book review michael mcclung write excellent dialogue keep character engage story move forward fantasy faction,book review amra mcclung thetys,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0,Positive
City of Stairs ,"You've got to be careful when you're chasing a murderer through Bulikov, for the world is not as it should be in that city. When the gods were destroyed and all worship of them banned by the Polis, reality folded; now stairs lead to nowhere, alleyways have become portals to the past, and criminals disappear into thin air. The murder of Dr Efrem Pangyui, the Polis diplomat researching the Continent's past, has begun something and now whispers of an uprising flutter out from invisible corners. Only one woman may be willing to pursue the truth - but it is likely to cost her everything. This edition contains bonus material!",519,Robert Jackson Bennett,4.04,33982,0.16900407601318596,High,Hachette UK,448.0,careful chase murderer bulikov world city gods destroy worship polis reality fold stairs lead nowhere alleyways become portals past criminals disappear thin murder efrem pangyui polis diplomat research continent past begin something whisper uprise flutter invisible corner woman will pursue truth likely cost everything edition contain bonus material,careful polis destroy,"{'neg': 0.574, 'neu': 0.164, 'pos': 0.262, 'compound': -0.4404}",0.574,0.164,0.262,-0.4404,Negative
The Magician King ,"Return to Fillory in the riveting sequel to The New York Times bestseller and literary phenomenon of 2009--The Magicians.The Magicians was praised as a triumph by readers and critics of both mainstream and fantasy literature. Now Grossman takes us back to Fillory, where the Brakebills graduates have fled the sorrows of the mundane world, only to face terrifying new challenges.Quentin and his friends are now the kings and queens of Fillory, but the days and nights of royal luxury are starting to pall. After a morning hunt takes a sinister turn, Quentin and his old friend Julia charter a magical sailing ship and set out on an errand to the wild outer reaches of their kingdom. Their pleasure cruise becomes an adventure when the two are unceremoniously dumped back into the last place Quentin ever wants to see: his parent's house in Chesterton, Massachusetts. And only the black, twisted magic that Julia learned on the streets can save them.The Magician King is a grand voyage into the dark, glittering heart of magic, an epic quest for the Harry Potter generation. It also introduces a powerful new voice, that of Julia, whose angry genius is thrilling. Once again Grossman proves that he is the cutting edge of literary fantasy.",1031,Lev Grossman,3.91,95181,0.4581459813266007,High,Random House,560.0,return fillory rivet sequel york time bestseller literary phenomenon magicians magicians praise triumph readers critics mainstream fantasy literature grossman take back fillory brakebills graduate flee sorrow mundane world face terrify challenge quentin friends kings queen fillory days nights royal luxury start pall morning hunt take sinister turn quentin friend julia charter magical sail ship errand wild outer reach kingdom pleasure cruise become adventure unceremoniously dump back last place quentin ever want parent house chesterton massachusetts black twist magic julia learn streets save magician king grand voyage dark glitter heart magic epic quest harry potter generation also introduce powerful voice julia whose angry genius thrill grossman prove edge literary fantasy,quentin fillory back triumph,"{'neg': 0.0, 'neu': 0.492, 'pos': 0.508, 'compound': 0.4767}",0.0,0.492,0.508,0.4767,Positive
A Dance of Chaos ,"FEAR COMES IN THE HANDS OF PROPHETS...The final installment of the Shadowdance series finds Haern the Watcher returning to his beloved city of Veldaren, only to find it has collapsed into chaos. The Sun Guild has conquered the former thief guilds, destroying the peace Haern fought so hard to obtain. The Trifect is their next target, and Alyssa Gemcroft must reach out to whatever allies she can obtain, even if it means casting aside longtime friends. As the chaos grows, so does the power of the dark god Karak who lays siege to Veldaren. If the city falls, the world will suffer greatly. The legendary Thren Felhorn, broken, guileless, and rejected by his own son, holds the fate of the entire city in his hands. Unless Haern can stop his father, Thren will at last have the legacy of fire and destruction he has always desired. Father or son; some choices must be made in blood.  Fantasy author David Dalglish spins a tale of retribution and darkness, and an underworld reaching for ultimate power. Chronological OrderA Dance of CloaksA Dance of BladesA Dance of MirrorsA Dance of ShadowsA Dance of GhostsA Dance of Chaos",932,David Dalglish,4.25,1598,0.008354655545227591,Low,Hachette UK,480.0,fear come hand prophets final installment shadowdance series find haern watcher return beloved city veldaren find collapse chaos guild conquer former thief guilds destroy peace haern fight hard obtain trifect next target alyssa gemcroft must reach whatever ally obtain even mean cast aside longtime friends chaos grow power dark karak siege veldaren city fall world suffer greatly legendary thren felhorn break guileless reject hold fate entire city hand unless haern stop father thren last legacy fire destruction always desire father choices must make blood fantasy author david dalglish spin tale retribution darkness underworld reach ultimate power chronological ordera dance cloaksa dance bladesa dance mirrorsa dance shadowsa dance ghostsa dance chaos,dance city power alyssa break stop,"{'neg': 0.306, 'neu': 0.694, 'pos': 0.0, 'compound': -0.296}",0.306,0.694,0.0,-0.296,Negative
A Dance of Ghosts ,"
IN A CITY KNOWN FOR DARKNESS, THE UNDERWORLD TREMBLES AT THE RISE OF THE SUN...

In book #5 of the Shadowdance series... He is known as Muzien the Darkhand, and a night of fire and blood heralds his arrival to the beleaguered city of Veldaren. With him comes the might of the Sun Guild, its thieves and smugglers eager to spread their criminal empire to the east. Left blind and vulnerable after being attacked by the Widow, Alyssa Gemcroft struggles to hold together the remnants of the Trifect as the Sun Guild's arrival threatens to shatter whatever future her son might have left. Veldaren's only hope is in the Watcher, but Haern is no longer there. He travels west with his father, Thren Felhorn, whose own thief guild has been crushed by the might of the encroaching Sun Guild. Their destination: the Stronghold, an ancient bastion of the dark paladins of Karak. Together, Haern hopes to discover a shred of something good within Thren. But as much as Haern tries to change his father, will it be Thren who ends up changing him?Killer or savior; the line can no longer remain blurred. 

Fantasy author David Dalglish spins a tale of retribution and darkness, and an underworld reaching for ultimate power.Chronological OrderA Dance of Cloaks A Dance of Blades A Dance of Mirrors A Dance of Shadows A Dance of Ghosts A Dance of Chaos",1108,David Dalglish,4.17,1871,0.009598737804763528,High,Orbit,512.0,city know darkness underworld tremble rise book shadowdance series know muzien darkhand night fire blood herald arrival beleaguer city veldaren come might guild thieve smugglers eager spread criminal empire east leave blind vulnerable attack widow alyssa gemcroft struggle hold together remnants trifect guild arrival threaten shatter whatever future might leave veldaren hope watcher haern longer travel west father thren felhorn whose thief guild crush might encroach guild destination stronghold ancient bastion dark paladins karak together haern discover shred something good within thren much haern change father thren change killer savior line longer remain blur fantasy author david dalglish spin tale retribution darkness underworld reach ultimate power chronological ordera dance cloak dance blades dance mirror dance shadow dance ghost dance chaos,dance guild thren book night alyssa,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0,Positive
Elric: The Stealer of Souls ,"When Michael Moorcock began chronicling the adventures of the albino sorcerer Elric, last king of decadent Melniboné, and his sentient vampiric sword, Stormbringer, he set out to create a new kind of fantasy adventure, one that broke with tradition and reflected a more up-to-date sophistication of theme and style. The result was a bold and unique hero–weak in body, subtle in mind, dependent on drugs for the vitality to sustain himself–with great crimes behind him and a greater destiny ahead: a rock-and-roll antihero who would channel all the violent excesses of the sixties into one enduring archetype.Here is the first volume of a collection of stories containing the seminal appearances of Elric and lavishly illustrated by artist John Picacio–plus essays, letters, maps, and other material. Adventures include “The Dreaming City,” “While the Gods Laugh,” “Kings in Darkness,” “Dead God’s Homecoming,” “Black Sword’s Brothers,” and “Sad Giant’s Shield.”",815,Michael Moorcock,3.78,2468,0.011478544535463618,High,White Wolf Pub,625.0,michael moorcock begin chronicle adventure albino sorcerer elric last king decadent melnibone sentient vampiric sword stormbringer create kind fantasy adventure break tradition reflect date sophistication theme style result bold unique hero weak body subtle mind dependent drug vitality sustain great crimes behind greater destiny ahead rock roll antihero would channel violent excesses sixties endure archetype first volume collection stories contain seminal appearances elric lavishly illustrate artist john picacio plus essay letter material adventure include dream city gods laugh kings darkness dead homecoming black sword brothers giant shield,adventure michael bold,"{'neg': 0.0, 'neu': 0.169, 'pos': 0.831, 'compound': 0.5994}",0.0,0.169,0.831,0.5994,Positive
"The Princess and The Queen, or, The Blacks and The Greens ","The Princess and The Queen, or, The Blacks and The Greens is a novella published on December 3, 2013 as part of the Dangerous Women anthology, edited by George R. R. Martin and Gardner Dozois. It replaced the fourth in the series of ""Dunk and Egg"" stories tentatively named The She-Wolves of Winterfell. It is the history of the civil war known as the Dance of the Dragons as written by Archmaester Gyldayn of the Citadel of Oldtown.",356,George R.R. Martin,3.91,2311,0.011117804136963946,High,HarperCollins UK,240.0,princess queen black green novella publish december part dangerous women anthology edit george martin gardner dozois replace fourth series dunk stories tentatively name wolves winterfell history civil know dance dragons write archmaester gyldayn citadel oldtown,princess oldtown novella,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0,Positive
An Ember in the Ashes ,"▶ 
Alternative Cover Edition #1
Laia is a slave. Elias is a soldier. Neither is free.   Under the Martial Empire, defiance is met with death. Those who do not vow their blood and bodies to the Emperor risk the execution of their loved ones and the destruction of all they hold dear.   It is in this brutal world, inspired by ancient Rome, that Laia lives with her grandparents and older brother. The family ekes out an existence in the Empire’s impoverished backstreets. They do not challenge the Empire. They’ve seen what happens to those who do.   But when Laia’s brother is arrested for treason, Laia is forced to make a decision. In exchange for help from rebels who promise to rescue her brother, she will risk her life to spy for them from within the Empire’s greatest military academy.   There, Laia meets Elias, the school’s finest soldier—and secretly, its most unwilling. Elias wants only to be free of the tyranny he’s being trained to enforce. He and Laia will soon realize that their destinies are intertwined—and that their choices will change the fate of the Empire itself.From the Hardcover edition.",923,Sabaa Tahir,4.25,232954,1.2188200906542108,High,HarperCollins UK,464.0,alternative cover edition laia slave elias soldier neither free martial empire defiance meet death blood body emperor risk execution love ones destruction hold dear brutal world inspire ancient rome laia live grandparents older brother family ekes existence empire impoverish backstreets challenge empire happen laia brother arrest treason laia force make decision exchange help rebel promise rescue brother risk life within empire greatest military academy laia meet elias school finest soldier secretly unwilling elias want free tyranny train enforce laia soon realize destinies intertwine choices change fate empire hardcover edition,laia brother school finest,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0,Positive
Golden Son ,"As a Red, Darrow grew up working the mines deep beneath the surface of Mars, enduring backbreaking labor while dreaming of the better future he was building for his descendants. But the Society he faithfully served was built on lies. Darrow’s kind have been betrayed and denied by their elitist masters, the Golds—and their only path to liberation is revolution. And so Darrow sacrifices himself in the name of the greater good for which Eo, his true love and inspiration, laid down her own life. He becomes a Gold, infiltrating their privileged realm so that he can destroy it from within. A lamb among wolves in a cruel world, Darrow finds friendship, respect, and even love—but also the wrath of powerful rivals. To wage and win the war that will change humankind’s destiny, Darrow must confront the treachery arrayed against him, overcome his all-too-human desire for retribution—and strive not for violent revolt but a hopeful rebirth. Though the road ahead is fraught with danger and deceit, Darrow must choose to follow Eo’s principles of love and justice to free his people. He must live for more.",920,Pierce Brown,4.43,170362,0.9290867670735771,High,Hachette UK,400.0,darrow grow work mine deep beneath surface endure backbreaking labor dream better future build descendants society faithfully serve build darrow kind betray deny elitist master golds path liberation revolution darrow sacrifice name greater good true love inspiration life become gold infiltrate privilege realm destroy within lamb among wolves cruel world darrow find friendship respect even love also wrath powerful rival wage change humankind destiny darrow must confront treachery array overcome human desire retribution strive violent revolt hopeful rebirth though road ahead fraught danger deceit darrow must choose follow principles love justice free people must live,darrow love build descendants,"{'neg': 0.0, 'neu': 0.417, 'pos': 0.583, 'compound': 0.6369}",0.0,0.417,0.583,0.6369,Positive
The Thorn of Emberlain ,"Locke Lamora, thief, con-man, pirate, political deceiver is back, and now he must become a soldier.A new chapter for Locke and Jean and finally the war that has been brewing in the Kingdom of the Marrows flares up and threatens to capture all in its flames. And all the while Locke must try to deal with the disturbing rumours about his past revealed in The Republic of Thieves. Fighting a war when you don't know the truth of right and wrong is one thing. Fighting a war when you don't know the truth of yourself is quite another. Particularly when you've never been that good with a sword anyway...",492,Scott Lynch,4.31,2352,0.012473347460828314,High,Gollancz,608.0,locke lamora thief pirate political deceiver back must become soldier chapter locke jean finally brew kingdom marrows flare threaten capture flame locke must deal disturb rumour past reveal republic thieve fight know truth right wrong thing fight know truth quite another particularly never good sword anyway,fight truth locke jean sword,"{'neg': 0.329, 'neu': 0.38, 'pos': 0.291, 'compound': -0.0772}",0.329,0.38,0.291,-0.0772,Negative
Some Desperado ,"Tor.com is pleased to present “Some Desperado,” an exclusive reprint of a new story by Joe Abercrombie originally published in Dangerous Women.As the sizzlingly fast-paced and action-packed story that follows demonstrates, sometimes chasing a fugitive can be as dangerous for the pursuers as for the pursued—particularly when the quarry has no place left to run....Joe Abercrombie is one of the fastest-rising stars in fantasy today, acclaimed by readers and critics alike for his tough, spare, no-nonsense approach to the genre. He’s probably best known for his First Law trilogy, the first novel of which, The Blade Itself, was published in 2006; it was followed in subsequent years by Before They Are Hanged and Last Argument of Kings. He’s also written the stand-alone fantasy novels Best Served Cold and The Heroes. His most recent novel is Red Country. In addition to writing, Abercrombie is also a freelance film editor and lives and works in London.",804,Joe Abercrombie,3.77,516,0.002388669453697193,Low,Read Books Ltd,296.0,please present desperado exclusive reprint story abercrombie originally publish dangerous women sizzlingly fast pace action pack story follow demonstrate sometimes chase fugitive dangerous pursuers pursue particularly quarry place leave abercrombie fastest rise star fantasy today acclaim readers critics alike tough spare nonsense approach genre probably best know first trilogy first novel blade publish follow subsequent years hang last argument kings also write stand alone fantasy novels best serve cold heroes recent novel country addition write abercrombie also freelance film editor live work london,abercrombie story publish london originally,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0,Positive
The Free ,"From the bestselling author of Winterbirth comes a magnificent new epic fantasy about The Free - the most feared and revered band of mercenaries the kingdom has ever known . . .They are the most feared mercenary company the kingdom has ever known. Led by Yulan, their charismatic captain, the Free have spent years selling their martial and magical skills to the highest bidder - winning countless victories that shook the foundations of the world. Now they finally plan to lay down their swords.Yet when Yulan is offered a final contract, he cannot refuse - for the mission offers him the chance to erase the memories of the Free's darkest hour, which have haunted him for years.As The Free embark on their last mission, a potent mix of loyalty and vengeance is building to a storm. Freedom, it seems, carries a deadly price.",684,Brian Ruckley,3.71,523,0.0023825264151396608,Low,Faber & Faber,268.0,bestselling author winterbirth come magnificent epic fantasy free fear revere band mercenaries kingdom ever know fear mercenary company kingdom ever know lead yulan charismatic captain free spend years sell martial magical skills highest bidder countless victories shake foundations world finally plan swords yulan offer final contract refuse mission offer chance erase memories free darkest hour haunt years free embark last mission potent loyalty vengeance build storm freedom seem carry deadly price,free kingdom yulan epic hour,"{'neg': 0.0, 'neu': 0.548, 'pos': 0.452, 'compound': 0.5106}",0.0,0.548,0.452,0.5106,Positive
A Shadow of All Night Falling ,"The War That Wizards DreadAcross the mountains called Dragon's Teeth, beyond the chill reach of the Werewind and the fires of the world's beginning, above the walls of the castle Fangdred, stands Windtower. From this lonely keep the Star Rider calls forth the war that even wizards dread, fought for a woman's hundred-lifetime love. A woman called Nepanthe, princess to the Stormkings...",326,Glen Cook,3.64,867,0.0038789533727763524,Low,Start Publishing LLC,217.0,wizards dreadacross mountains call dragon teeth beyond chill reach werewind fire world begin wall castle fangdred stand windtower lonely keep star rider call forth even wizards dread fight woman lifetime love woman call nepanthe princess stormkings,call woman dreadacross teeth fire,"{'neg': 0.375, 'neu': 0.625, 'pos': 0.0, 'compound': -0.34}",0.375,0.625,0.0,-0.34,Negative
The City Stained Red ,"Long before he was sent to hell, the Aeon known as Khoth-Kapira was the closest thing to a living god the world had ever known. Possessed of a vast intellect, he pioneered many of the wonders that persist in the world that lingered long after he was banished. Nearly every fragment of medical, economic and technological progress that the mortal races enjoyed could be traced back to him. But with his wonders came cruelty beyond measure: industrialized slavery, horrifying experimentations and a rage that would eventually force the world to bow to him.Now, as Khoth-Kapira stirs the world begins to shudder with disasters yet to come.The epicenter is the city of Cier'Djaal. A religious war between two unstoppable military juggernauts begins to brew. The racial fury among many peoples of the world is about to explode. Demons begin to pour from the shadows at the head of a vicious cult worshipping dark powers.And Lenk finds himself in the middle once more, his fate and the fate of Khoth-Kapira interlinked as the demon attempts to convince him of his earnestness.""Your world is breaking around you,"" He Who Makes says, ""let me fix it. Let me help you. Let me out.""",973,Sam Sykes,3.71,2252,0.010279334772004238,High,Hachette UK,720.0,long send hell aeon know khoth kapira closest thing live world ever know possess vast intellect pioneer many wonder persist world linger long banish nearly every fragment medical economic technological progress mortal race enjoy could trace back wonder come cruelty beyond measure industrialize slavery horrify experimentations rage would eventually force world khoth kapira stir world begin shudder disasters come epicenter city cier wouldjaal religious unstoppable military juggernauts begin brew racial fury among many people world explode demons begin pour shadow head vicious cult worship dark power lenk find middle fate fate khoth kapira interlink demon attempt convince earnestness world break around make help,world khoth begin live enjoy,"{'neg': 0.0, 'neu': 0.556, 'pos': 0.444, 'compound': 0.4939}",0.0,0.556,0.444,0.4939,Positive
The Dragon's Path ,"All paths lead to war...Marcus' hero days are behind him. He knows too well that even the smallest war still means somebody's death. When his men are impressed into a doomed army, staying out of a battle he wants no part of requires some unorthodox steps.Cithrin is an orphan, ward of a banking house. Her job is to smuggle a nation's wealth across a war zone, hiding the gold from both sides. She knows the secret life of commerce like a second language, but the strategies of trade will not defend her from swords.Geder, sole scion of a noble house, has more interest in philosophy than in swordplay. A poor excuse for a soldier, he is a pawn in these games. No one can predict what he will become.Falling pebbles can start a landslide. A spat between the Free Cities and the Severed Throne is spiraling out of control. A new player rises from the depths of history, fanning the flames that will sweep the entire region onto The Dragon's Path-the path to war.",788,Daniel Abraham,3.79,19553,0.09122334700533244,High,Hachette UK,464.0,paths lead marcus hero days behind know well even smallest still mean somebody death impress doom army stay battle want part require unorthodox step cithrin orphan ward bank house smuggle nation wealth across zone hide gold side know secret life commerce like second language strategies trade defend swords geder sole scion noble house interest philosophy swordplay poor excuse soldier pawn game predict become fall pebbles start landslide spat free cities sever throne spiral control player rise depths history flame sweep entire region onto dragon path path,house path lead army step,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0,Positive
The Incorruptibles ,"In the contested and unexplored territories at the edge of the Empire, a boat is making its laborious way up stream. Riding along the banks are the mercenaries hired to protect it - from raiders, bandits and, most of all, the stretchers, elf-like natives who kill any intruders into their territory. The mercenaries know this is dangerous, deadly work. But it is what they do.In the boat the drunk governor of the territories and his sons and daughters make merry. They believe that their status makes them untouchable. They are wrong. And with them is a mysterious, beautiful young woman, who is the key to peace between warring nations and survival for the Empire. When a callow mercenary saves the life of the Governor on an ill-fated hunting party, the two groups are thrown together. For Fisk and Shoe - two tough, honourable mercenaries surrounded by corruption, who know they can always and only rely on each other - their young companion appears to be playing with fire. The nobles have the power, and crossing them is always risky.And although love is a wonderful thing, sometimes the best decision is to walk away. Because no matter how untouchable or deadly you may be, the stretchers have other plans.",1006,John Hornor Jacobs,3.79,1134,0.005284810521459619,Low,TAN Books,310.0,contest unexplored territories edge empire boat make laborious stream along bank mercenaries hire protect raiders bandits stretchers like natives kill intruders territory mercenaries know dangerous deadly work boat drink governor territories sons daughters make merry believe status make untouchable wrong mysterious beautiful young woman peace nations survival empire callow mercenary save life governor hunt party group throw together fisk shoe tough honourable mercenaries surround corruption know always rely young companion appear play fire nobles power cross always risky although love wonderful thing sometimes best decision walk away matter untouchable deadly stretchers plan,make territories boat kill,"{'neg': 0.61, 'neu': 0.39, 'pos': 0.0, 'compound': -0.6908}",0.61,0.39,0.0,-0.6908,Negative
Sabbat Martyr ,"A new wave of hope has been unleashed in the Chaos infested Sabbat system when a girl claiming to be the reincarnation of Saint Sabbat is revealed. Despite private doubts from the military high command, she proves to be the perfect rallying point for beleaguered Imperial troops. But the dark forces of Chaos are not oblivious to this new threat and when they order their most lethal assassins to kill her, it falls to Commissar Guant and his men to form the last line of defense!",395,Dan Abnett,4.35,2342,0.012535614973902449,High,Games Workshop Limited,319.0,wave hope unleash chaos infest sabbat system girl claim reincarnation saint sabbat reveal despite private doubt military high command prove perfect rally beleaguer imperial troop dark force chaos oblivious threat order lethal assassins kill fall commissar guant form last line defense,wave girl doubt troop,"{'neg': 0.455, 'neu': 0.545, 'pos': 0.0, 'compound': -0.3612}",0.455,0.545,0.0,-0.3612,Negative
Dangerous Women ,"Commissioned by George R.R. Martin and Gardner Dozois, these tales of dangerous women by the most stellar names in fiction are available for the first time in three-volume paperback. George R.R. Martin is the bestselling author of A Song of Ice and Fire, the inspiration for HBO’s hit series GAME OF THRONES.",257,George R.R. Martin,3.68,12001,0.05436241961717096,High,HarperCollins UK,240.0,commission george martin gardner dozois tales dangerous women stellar name fiction available first time volume paperback george martin bestselling author song fire inspiration series game throne,george martin,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0,Positive
Wolves of the Calla ,"Roland and his tet have just returned to the path of the Beam when they discover that they are being followed by a group of inexperienced trackers. The trackers are from the town of Calla Bryn Sturgis, and they desperately need the help of gunslingers. Once every generation, a band of masked riders known as the Wolves gallop out of the dark land of Thunderclap to steal one half of all the twins born in the Callas. When the children are returned, they are roont, or mentally and physically ruined. In less than a month, the Wolves will raid again. In exchange for Roland’s aid, Father Callahan—a priest originally from our world—offers to give Roland a powerful but evil seeing sphere, a sinister globe called Black Thirteen which he has hidden below the floorboards of his church. Not only must Roland and his tet discover a way to defeat the invincible Wolves, but they must also return to New York so that they can save our world’s incarnation of the Dark Tower from the machinations of the evil Sombra Corporation.",842,Stephen King,4.16,170872,0.8750721739321666,High,Scribner,736.0,roland return path beam discover follow group inexperienced trackers trackers town calla bryn sturgis desperately need help gunslingers every generation band mask riders know wolves gallop dark land thunderclap steal half twin bear callas children return roont mentally physically ruin less month wolves raid exchange roland father callahan priest originally world offer give roland powerful evil sphere sinister globe call black hide floorboards church must roland discover defeat invincible wolves must also return york save world incarnation dark tower machinations evil sombra corporation,roland discover sturgis,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0,Positive
